step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,telar-placeholder,0.5,0.5,1,,What does the text mean?,"The Aztec pictograms tell the history and geography of the area, and the Spanish text is a translation and explanation.",,Learn more,blank_template-the-pictograms.md,,,,,
2,telar-placeholder,0.5,0.5,1,,Why is a bird in the center?,The eagle represents the legend of the founding of Tenochtitlan. Tenochtitlan is situated at the center of the map because of its importance to the Aztecs.,,Learn more,blank_template-the-legend.md,,,,,
3,telar-placeholder,0.5,0.5,1,,question,answer,,,,,,,,
